"","Data","Isol"
"974",2020-10-14,0.41
"975",2020-10-15,0.41
"976",2020-10-16,0.42
"977",2020-10-17,0.43
"978",2020-10-18,0.49
"979",2020-10-19,0.41
"980",2020-10-20,0.41
"981",2020-10-21,0.41
"982",2020-10-22,0.4
"983",2020-10-23,0.4
"984",2020-10-24,0.43
"985",2020-10-25,0.49
"986",2020-10-26,0.41
"987",2020-10-27,0.41
"988",2020-10-28,0.4
"989",2020-10-29,0.4
"990",2020-10-30,0.41
"991",2020-10-31,0.44
"992",2020-11-01,0.48
"993",2020-11-02,0.49
"994",2020-11-03,0.4
"995",2020-11-04,0.4
"996",2020-11-05,0.39
"997",2020-11-06,0.39
"998",2020-11-07,0.42
"999",2020-11-08,0.47
"1000",2020-11-09,0.4
"1001",2020-11-10,0.4
"1002",2020-11-11,0.4
"1003",2020-11-12,0.39
"1004",2020-11-13,0.39
"1005",2020-11-14,0.42
"1006",2020-11-15,0.45
"1007",2020-11-16,0.4
"1008",2020-11-17,0.41
"1009",2020-11-18,0.4
"1010",2020-11-19,0.4
"1011",2020-11-20,0.4
"1012",2020-11-21,0.42
"1013",2020-11-22,0.47
"1014",2020-11-23,0.4
"1015",2020-11-24,0.4
"1016",2020-11-25,0.4
"1017",2020-11-26,0.4
"1018",2020-11-27,0.39
"1019",2020-11-28,0.42
"1020",2020-11-29,0.45
"1021",2020-11-30,0.39
"1022",2020-12-01,0.39
"1023",2020-12-02,0.39
"1024",2020-12-03,0.39
"1025",2020-12-04,0.38
"1026",2020-12-05,0.41
"1027",2020-12-06,0.46
"1028",2020-12-07,0.39
"1029",2020-12-08,0.4
"1030",2020-12-09,0.38
"1031",2020-12-10,0.39
"1032",2020-12-11,0.39
"1033",2020-12-12,0.4
"1034",2020-12-13,0.45
"1035",2020-12-14,0.39
"1036",2020-12-15,0.39
"1037",2020-12-16,0.39
"1038",2020-12-17,0.38
"1039",2020-12-18,0.38
"1040",2020-12-19,0.39
"1041",2020-12-20,0.44
"1042",2020-12-21,0.39
"1043",2020-12-22,0.39
"1044",2020-12-23,0.39
"1045",2020-12-24,0.42
"1046",2020-12-25,0.47
"1047",2020-12-26,0.47
"1048",2020-12-27,0.5
"1049",2020-12-28,0.41
"1050",2020-12-29,0.41
"1051",2020-12-30,0.4
"1052",2020-12-31,0.46
"1053",2021-01-01,0.48
"1054",2021-01-02,0.49
"1055",2021-01-03,0.51
"1056",2021-01-04,0.4
"1057",2021-01-05,0.4
"1058",2021-01-06,0.42
"1059",2021-01-07,0.41
