"","datahora","casos","obitos","pop"
"146524","2020-10-09",32181,1269,1175501
"147169","2020-10-10",32299,1269,1175501
"147814","2020-10-11",32359,1269,1175501
"148459","2020-10-12",32366,1270,1175501
"149104","2020-10-13",32388,1270,1175501
"149749","2020-10-14",32502,1278,1175501
"150394","2020-10-15",32630,1279,1175501
"151039","2020-10-16",32758,1285,1175501
"151684","2020-10-17",32851,1287,1175501
"152329","2020-10-18",32857,1287,1175501
"152974","2020-10-19",32861,1287,1175501
"153619","2020-10-20",33035,1293,1175501
"154264","2020-10-21",33142,1294,1175501
"154909","2020-10-22",33210,1303,1175501
"155554","2020-10-23",33293,1305,1175501
"156199","2020-10-24",33419,1307,1175501
"156844","2020-10-25",33461,1307,1175501
"157489","2020-10-26",33472,1307,1175501
"158134","2020-10-27",33608,1312,1175501
"158779","2020-10-28",33749,1314,1175501
"159424","2020-10-29",33822,1318,1175501
"160069","2020-10-30",33922,1324,1175501
"160714","2020-10-31",33958,1324,1175501
"161359","2020-11-01",33968,1325,1175501
"162004","2020-11-02",33979,1325,1175501
"162649","2020-11-03",33984,1325,1175501
"163294","2020-11-04",34100,1329,1175501
"163939","2020-11-05",34173,1333,1175501
"164584","2020-11-06",34173,1333,1175501
"165229","2020-11-07",34173,1333,1175501
"165874","2020-11-08",34173,1333,1175501
"166519","2020-11-09",34173,1333,1175501
"167164","2020-11-10",34599,1333,1175501
"167809","2020-11-11",34646,1334,1175501
"168454","2020-11-12",34736,1338,1175501
"169099","2020-11-13",34849,1338,1175501
"169744","2020-11-14",34937,1342,1175501
"170389","2020-11-15",34944,1343,1175501
"171034","2020-11-16",34957,1343,1175501
"171679","2020-11-17",35153,1345,1175501
"172324","2020-11-18",35366,1349,1175501
"172969","2020-11-19",35504,1351,1175501
"173614","2020-11-20",35686,1354,1175501
"174259","2020-11-21",35901,1355,1175501
"174904","2020-11-22",35966,1355,1175501
"175549","2020-11-23",35978,1355,1175501
"176194","2020-11-24",36101,1360,1175501
"176839","2020-11-25",36319,1362,1175501
"177484","2020-11-26",36445,1366,1175501
"178129","2020-11-27",36561,1369,1175501
"178774","2020-11-28",36685,1372,1175501
"179419","2020-11-29",36712,1372,1175501
"180064","2020-11-30",36735,1372,1175501
"180709","2020-12-01",37101,1378,1175501
"181354","2020-12-02",37435,1385,1175501
"181999","2020-12-03",37763,1391,1175501
"182644","2020-12-04",38033,1394,1175501
