"","Data","Isol"
"601",2020-10-13,0.34
"602",2020-10-14,0.36
"603",2020-10-15,0.36
"604",2020-10-16,0.38
"605",2020-10-17,0.38
"606",2020-10-18,0.42
"607",2020-10-19,0.36
"608",2020-10-20,0.36
"609",2020-10-21,0.36
"610",2020-10-22,0.36
"611",2020-10-23,0.35
"612",2020-10-24,0.38
"613",2020-10-25,0.42
"614",2020-10-26,0.36
"615",2020-10-27,0.37
"616",2020-10-28,0.36
"617",2020-10-29,0.36
"618",2020-10-30,0.36
"619",2020-10-31,0.41
"620",2020-11-01,0.44
"621",2020-11-02,0.43
"622",2020-11-03,0.36
"623",2020-11-04,0.36
"624",2020-11-05,0.36
"625",2020-11-06,0.35
"626",2020-11-07,0.38
"627",2020-11-08,0.43
"628",2020-11-09,0.36
"629",2020-11-10,0.36
"630",2020-11-11,0.36
"631",2020-11-12,0.35
"632",2020-11-13,0.35
"633",2020-11-14,0.39
"634",2020-11-15,0.41
"635",2020-11-16,0.36
"636",2020-11-17,0.37
"637",2020-11-18,0.37
"638",2020-11-19,0.36
"639",2020-11-20,0.38
"640",2020-11-21,0.39
"641",2020-11-22,0.42
"642",2020-11-23,0.36
"643",2020-11-24,0.36
"644",2020-11-25,0.36
"645",2020-11-26,0.36
"646",2020-11-27,0.37
"647",2020-11-28,0.38
"648",2020-11-29,0.41
"649",2020-11-30,0.35
"650",2020-12-01,0.35
"651",2020-12-02,0.36
"652",2020-12-03,0.36
"653",2020-12-04,0.35
"654",2020-12-05,0.38
"655",2020-12-06,0.44
"656",2020-12-07,0.36
"657",2020-12-08,0.36
"658",2020-12-09,0.35
"659",2020-12-10,0.37
"660",2020-12-11,0.37
"661",2020-12-12,0.38
"662",2020-12-13,0.43
"663",2020-12-14,0.37
"664",2020-12-15,0.36
"665",2020-12-16,0.37
"666",2020-12-17,0.36
"667",2020-12-18,0.35
"668",2020-12-19,0.37
"669",2020-12-20,0.42
"670",2020-12-21,0.36
"671",2020-12-22,0.36
"672",2020-12-23,0.36
"673",2020-12-24,0.39
"674",2020-12-25,0.46
"675",2020-12-26,0.43
"676",2020-12-27,0.44
"677",2020-12-28,0.37
"678",2020-12-29,0.39
"679",2020-12-30,0.37
"680",2020-12-31,0.43
"681",2021-01-01,0.47
"682",2021-01-02,0.46
"683",2021-01-03,0.48
"684",2021-01-04,0.36
"685",2021-01-05,0.37
"686",2021-01-06,0.38
"687",2021-01-07,0.39
"688",2021-01-08,0.37
"689",2021-01-09,0.42
"690",2021-01-10,0.44
"691",2021-01-11,0.38
"692",2021-01-12,0.37
"693",2021-01-13,0.37
"694",2021-01-14,0.36
"695",2021-01-15,0.36
"696",2021-01-16,0.39
"697",2021-01-17,0.43
"698",2021-01-18,0.36
"699",2021-01-19,0.37
"700",2021-01-20,0.38
"701",2021-01-21,0.36
"702",2021-01-22,0.36
"703",2021-01-23,0.39
"704",2021-01-24,0.44
"705",2021-01-25,0.37
"706",2021-01-26,0.41
"707",2021-01-27,0.36
"708",2021-01-28,0.36
"709",2021-01-29,0.39
"710",2021-01-30,0.41
"711",2021-01-31,0.45
"712",2021-02-01,0.36
"713",2021-02-02,0.37
"714",2021-02-03,0.35
"715",2021-02-04,0.36
"716",2021-02-05,0.35
"717",2021-02-06,0.38
"718",2021-02-07,0.44
"719",2021-02-08,0.35
"720",2021-02-09,0.36
"721",2021-02-10,0.35
"722",2021-02-11,0.35
"723",2021-02-12,0.34
"724",2021-02-13,0.39
"725",2021-02-14,0.43
"726",2021-02-15,0.35
"727",2021-02-16,0.39
"728",2021-02-17,0.36
"729",2021-02-18,0.37
"730",2021-02-19,0.34
"731",2021-02-20,0.38
"732",2021-02-21,0.43
"733",2021-02-22,0.35
"734",2021-02-23,0.35
"735",2021-02-24,0.39
"736",2021-02-25,0.34
"737",2021-02-26,0.36
"738",2021-02-27,0.37
"739",2021-02-28,0.44
"740",2021-03-01,0.34
"741",2021-03-02,0.36
"742",2021-03-03,0.35
"743",2021-03-04,0.36
"744",2021-03-05,0.34
"745",2021-03-06,0.42
"746",2021-03-07,0.48
