,Parameter,Value
0,mu,2e-05
1,gamma,0.9999999956337715
2,alpha,0.356454995612088
3,theta,0.45
4,beta1,0.12970068817271915
5,beta2,0.04761904761904762
6,beta3,0.06666666666666665
7,s0,0.9978445408748039
8,i0,0.002155459125196102
9,sick0,0.0
