Nome,Valor
mu,3.595e-05
gamma,0.013968351672689915
alpha,0.6015822288109492
beta1,0.1135687239984522
beta2,0.14503183731613936
beta3,0.13565731680080997
i0,0.0018542320411282876
s0,0.9966167435386271
sick0,0.0015290244202445563
N,31
pvoc,"[[ 3.06570601e+05  1.46561804e+07  9.70969839e+05  6.30866541e+06
  -1.33025429e+05 -8.20585800e+04]
 [ 1.46561804e+07  7.00733689e+08  4.64110755e+07  3.01639050e+08
  -6.34983155e+06 -3.92339228e+06]
 [ 9.70969839e+05  4.64110755e+07  3.07641019e+06  1.99756898e+07
  -4.22676640e+05 -2.59844851e+05]
 [ 6.30866541e+06  3.01639050e+08  1.99756898e+07  1.29846573e+08
  -2.73124872e+06 -1.68888002e+06]
 [-1.33025429e+05 -6.34983155e+06 -4.22676640e+05 -2.73124872e+06
   5.93279907e+04  3.55444168e+04]
 [-8.20585800e+04 -3.92339228e+06 -2.59844851e+05 -1.68888002e+06
   3.55444168e+04  2.19670241e+04]]"
perr,"[  553.68818029 26471.37489733  1753.96983648 11395.02404104
   243.57337851   148.21276622]"
MSE,5.637658146093959e-09
RMSE,7.508434021880967e-05
Mean_R,0.9940558321945215
ss_res,1.7476740252891273e-07
ss_tot,2.9401492058793937e-05
