Nome,Valor
mu,3.595e-05
gamma,0.0193498485435704
alpha,0.7244294650908844
beta1,0.15809502891545046
beta2,0.16129458955622256
beta3,0.1214944115732683
i0,0.0015291640082891642
s0,0.9969418115714662
sick0,0.0015290244202445563
N,31
pvoc,"[[ 8.21542126e+05  3.70456533e+07  3.89058775e+06  1.45172318e+07
  -1.68516953e+05 -1.39228806e+05]
 [ 3.70456533e+07  1.67058301e+09  1.75436429e+08  6.54668813e+08
  -7.59344141e+06 -6.27860283e+06]
 [ 3.89058775e+06  1.75436429e+08  1.84247732e+07  6.87488042e+07
  -7.98157815e+05 -6.59342648e+05]
 [ 1.45172318e+07  6.54668813e+08  6.87488042e+07  2.56553208e+08
  -2.97498873e+06 -2.46046708e+06]
 [-1.68516953e+05 -7.59344141e+06 -7.98157815e+05 -2.97498873e+06
   3.49294319e+04  2.85356412e+04]
 [-1.39228806e+05 -6.27860283e+06 -6.59342648e+05 -2.46046708e+06
   2.85356412e+04  2.35970863e+04]]"
perr,"[  906.38961075 40872.76614633  4292.40878692 16017.27840498
   186.8941731    153.61343124]"
MSE,5.710300891295602e-09
RMSE,7.55665328786203e-05
Mean_R,0.9939792399897196
ss_res,1.7701932763016363e-07
ss_tot,2.9401492058793934e-05
