Nome,Valor
mu,3.595e-05
gamma,0.01953915650870926
alpha,0.7571736106604414
beta1,0.16340486992470493
beta2,0.17120549395942272
beta3,0.1353183562683543
i0,0.0015594422066743067
s0,0.9969115333730811
sick0,0.0015290244202445563
N,31
pvoc,"[[ 8.19759359e+05  2.61499551e+07  3.14473682e+06  9.82694119e+06
  -1.71803688e+04 -8.96632246e+04]
 [ 2.61499551e+07  8.34218290e+08  1.00315396e+08  3.13498368e+08
  -5.45503777e+05 -2.86040668e+06]
 [ 3.14473682e+06  1.00315396e+08  1.20637695e+07  3.76976546e+07
  -6.59390505e+04 -3.43962180e+05]
 [ 9.82694119e+06  3.13498368e+08  3.76976546e+07  1.17813130e+08
  -2.04657273e+05 -1.07494181e+06]
 [-1.71803688e+04 -5.45503777e+05 -6.59390505e+04 -2.04657273e+05
   5.11736140e+02  1.86871167e+03]
 [-8.96632246e+04 -2.86040668e+06 -3.43962180e+05 -1.07494181e+06
   1.86871167e+03  9.80791663e+03]]"
perr,"[9.05405632e+02 2.88828373e+04 3.47329376e+03 1.08541757e+04
 2.26215857e+01 9.90349263e+01]"
MSE,7.85116430918322e-09
RMSE,8.86067960665728e-05
Mean_R,0.9917219815546101
ss_res,2.433860935846798e-07
ss_tot,2.9401492058793937e-05
