Parametros,Valor
mu,3.595e-05
gamma,0.01999576240214708
alpha,0.6328842956467234
beta1,0.13471333544042105
beta2,0.13796827018156543
beta3,0.09917356522587181
theta0,0.5006451612903227
theta1,0.0002580645161290343
s0,0.9969419068977555
i0,0.001529068681999909
sick0,0.0015290244202445563
TotPop,11869660.0
