Parametros,Valor
mu,3.595e-05
gamma,0.019995072641391116
alpha,0.52389842200984
beta1,0.1157327628101227
beta2,0.1021089535289078
beta3,0.12796848429591526
theta0,0.5006451612903227
theta1,0.0002580645161290346
s0,0.9959803672601683
i0,0.002490608319587183
sick0,0.0015290244202445563
TotPop,11869660.0
