Nome,Valor
theta(t),0.5006451612903227 + 0.0002580645161290343·x¹
Coeficientes,[5.00645161e-01 2.58064516e-04]
Residuos,[0.02860258]
rank,2
sing_values,[1.36341391 0.37563613]
rcond,6.8833827526759706e-15
