Parametros,Valor
mu,3.595e-05
gamma,0.006700000000000001
alpha,0.720822571235982
beta1,0.19999999999999998
beta2,0.1000591263028496
beta3,0.19999987189468352
theta0,0.5411674347158213
theta1,-0.000820931228123186
s0,0.9989085348240746
i0,0.001091465175925399
TotPop,11869660.0
