Nome,Valor
theta(t),0.50064516 + 0.00025806·x
theta0,0.5006451612903227
theta1,0.0002580645161290346
Residuos,[0.02860258]
rank,2
sing_values,[1.36341391 0.37563613]
rcond,6.8833827526759706e-15
