Nome,Valor
mu,3.595e-05
gamma,0.019938558954524132
alpha,0.5361999026627392
beta1,0.10802955667724536
beta2,0.1185971059260416
beta3,0.11372203103549404
i0,0.0019962072927544833
s0,0.9964747682870009
sick0,0.0015290244202445563
N,31
pvoc,"[[ 7.83892761e+07  1.26821746e+09  1.86625788e+08  4.42245044e+08
   6.56503917e+06 -7.35915383e+06]
 [ 1.26821746e+09  2.05179508e+10  3.01934016e+09  7.15489360e+09
   1.06199184e+08 -1.19060783e+08]
 [ 1.86625788e+08  3.01934016e+09  4.44314140e+08  1.05288570e+09
   1.56277334e+07 -1.75205131e+07]
 [ 4.42245044e+08  7.15489360e+09  1.05288570e+09  2.49501052e+09
   3.70332304e+07 -4.15181431e+07]
 [ 6.56503917e+06  1.06199184e+08  1.56277334e+07  3.70332304e+07
   5.50979877e+05 -6.16233539e+05]
 [-7.35915383e+06 -1.19060783e+08 -1.75205131e+07 -4.15181431e+07
  -6.16233539e+05  6.90881555e+05]]"
perr,"[  8853.77185926 143240.88376744  21078.76040725  49950.08023685
    742.28018734    831.19285089]"
MSE,6.161973545020614e-09
RMSE,7.849823912050903e-05
Mean_R,0.993503010680082
ss_res,1.9102117989563905e-07
ss_tot,2.9401492058793934e-05
