Nome,Valor
mu,3.595e-05
gamma,0.019989036171920802
alpha,0.6070787349445325
beta1,0.11491043512205278
beta2,0.14477515373283698
beta3,0.11504347712032488
i0,0.0016235790467519528
s0,0.9968473965330035
sick0,0.0015290244202445563
N,31
pvoc,"[[ 3.83201149e+05 -5.68446069e+06  1.23763990e+06 -4.06191628e+06
  -1.16276212e+04  4.54294117e+04]
 [-5.68446069e+06  8.43597963e+07 -1.83617688e+07  6.02752056e+07
   1.71166688e+05 -6.74146357e+05]
 [ 1.23763990e+06 -1.83617688e+07  3.99742856e+06 -1.31203175e+07
  -3.74686078e+04  1.46741611e+05]
 [-4.06191628e+06  6.02752056e+07 -1.31203175e+07  4.30675358e+07
   1.22511966e+05 -4.81685432e+05]
 [-1.16276212e+04  1.71166688e+05 -3.74686078e+04  1.22511966e+05
   4.04650149e+02 -1.36963384e+03]
 [ 4.54294117e+04 -6.74146357e+05  1.46741611e+05 -4.81685432e+05
  -1.36963384e+03  5.38737868e+03]]"
perr,"[ 619.03242964 9184.75891455 1999.35703709 6562.5860579    20.11591779
   73.39876481]"
MSE,5.766377245049468e-09
RMSE,7.593666601220696e-05
Mean_R,0.9939201148622296
ss_res,1.787576945965335e-07
ss_tot,2.9401492058793934e-05
